Fid  | Fname                                    | Fgroup           | Fcalorie  | Fcarb    | Fprotein | Ffat     | Fsodium   | Ffiber  | 1 | Fserving   | 10
   3 | Thomas Cin-Rais Eng Muff                 | Baked Foods      |       150 |       30 |        4 |        1 |       180 |       2 | 1 | each       | 10
   7 | Thomas Cin-Rais Swirl Bread              | Baked Foods      |        80 |       16 |        2 |        2 |       160 |       1 | 1 | each       | 10
   8 | Banana                                   | Fruits           |        89 |       23 |        1 |        0 |         1 |     3.1 | 1 | each       | 10
  10 | Kroger Honey Oat Bread                   | Baked Foods      |       130 |       24 |        5 |        2 |       250 |       2 | 1 | slice      | 10
  13 | Marie C Chicken Alfredo Bake             | Prepared Meals   |       390 |       37 |       24 |       16 |       790 |       4 | 1 | meal       | 10
  14 | Marie C Pesto Chicken Bowl               | Prepared Meals   |       370 |       45 |       26 |        9 |       880 |       3 | 1 | meal       | 10
  15 | Marie C Beef Pot Roast                   | Prepared Meals   |       220 |       26 |       14 |        6 |       790 |       3 | 1 | meal       | 10
  16 | Marie C Beef and Broccoli                | Prepared Meals   |       360 |       56 |       17 |        7 |       810 |       3 | 1 | meal       | 10
  18 | Premier Protein                          | Dairy and Egg    |       160 |        4 |       30 |        3 |       230 |       1 | 1 | each       | 10
  19 | Salad w/ Dressing                        | Vegetables       |        85 |        3 |        2 |        7 |       400 |     1.1 | 1 | each       | 10
  20 | Triscuit Original                        | Baked Foods      |       120 |       20 |        3 |        4 |       160 |       3 | 1 | Six        | 10
  22 | Gortons Fish Sandwich Fillets            | Fish             |       131 |       15 |        6 |        5 |       310 |       1 | 1 | each       | 10
  23 | Digiorno Rising Crust Supreme Pizza      | Prepared Meals   |       340 |       38 |       16 |       14 |       850 |       2 | 1 | slice 1/6  | 10
  33 | Chobani Yogurt w/ Fruit                  | Dairy and Egg    |       110 |       15 |       11 |        0 |        55 |       1 | 1 | each       | 10
  35 | Muscle Milk                              | Dairy and Egg    |       280 |       20 |       32 |        9 |       270 |       4 | 1 | 2 SCOOP    | 10
  38 | French Fries                             | Vegetables       |       425 |       50 |        5 |       22 |       570 |       4 | 1 | Medium     | 10
  43 | Orville Red Natural                      | Nuts and Seeds   |       170 |       18 |        2 |       11 |        45 |     1.3 | 1 | 2 CUPS     | 10
  46 | Quest Double Chocolate Bar               | Baked Foods      |       170 |       24 |       20 |        7 |       240 |      12 | 1 | BAR        | 10
  47 | Clif Builders Choc Pnt But Bar           | Baked Foods      |       290 |       29 |       20 |       11 |       330 |       2 | 1 | BAR        | 10
  48 | Clif Builders Choc Mint Bar              | Baked Foods      |       280 |       31 |       20 |        9 |       200 |       3 | 1 | BAR        | 10
  49 | Think Brownie Crunch Bar                 | Baked Foods      |       230 |       23 |       20 |        8 |       190 |       1 | 1 | BAR        | 10
  50 | Raw Cashews unsalted                     | Nuts and Seeds   |       160 |        8 |        5 |       13 |         3 |     0.9 | 1 | 1 OZ       | 10
